root_hair	non-hair_epidermis	QC	Stele	xylem_pole_pericycle	lateral_root_cap	Lateral_root	phloem_pole_pericycle	protophloem	developing_xylem	endodermis	companion_cells	Stele
AT5G65020	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G31470	1	0	1	0	0	0	0	0	0	0	1	0	1
AT4G35820	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G57570	0	0	0	1	0	0	0	0	0	0	0	0	0
AT3G61900	0	0	1	1	1	1	0	0	1	0	0	1	0
AT3G24150	0	1	1	1	1	1	1	1	1	1	1	1	1
AT5G23440	0	1	1	1	1	1	0	0	0	1	0	1	1
AT2G16640	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G76850	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G24410	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G24920	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G03930;AT5G44100	0	0	1	0	0	0	0	0	0	0	1	0	0
AT5G45130	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G04260	0	1	1	1	0	1	1	1	1	1	0	1	1
AT5G37680	0	1	1	1	1	1	1	1	1	1	1	1	1
AT4G23700	1	1	0	1	0	1	1	0	1	0	0	1	1
ATMG01280;AT2G07695	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G19310	0	1	1	1	1	1	1	1	1	1	0	1	1
AT2G38650	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G30340	1	1	1	0	0	1	0	0	0	0	1	1	1
AT2G01390	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G59370	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G31820	0	0	0	0	0	0	0	0	0	0	0	0	0
ATCG00020	0	1	1	1	0	1	1	1	1	1	1	1	1
AT4G00680	1	0	0	0	0	0	0	0	0	0	0	1	1
AT2G04520	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G37940	1	1	1	1	1	1	1	1	1	0	1	1	1
AT2G26210	1	1	1	0	1	1	1	0	1	1	1	1	1
AT4G00320;AT5G41830	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G04060	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G71880	0	0	1	1	1	0	1	1	1	1	1	0	1
AT2G19980	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G12800	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G08410	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G48470	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G18760	0	0	1	0	0	1	0	0	0	0	0	0	1
AT5G40160	0	0	1	1	1	1	1	0	0	0	0	0	1
AT3G15050	0	0	0	1	0	0	0	0	0	0	0	0	0
AT3G29290	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G11930	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G14340	0	0	1	1	1	0	0	1	1	0	1	0	1
AT2G33680	0	0	0	0	0	0	0	0	0	1	0	0	0
AT2G15310	0	0	0	0	0	0	0	1	1	0	0	1	1
AT4G01900	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G11470	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G51990	0	0	1	1	1	0	0	0	0	0	0	0	0
AT4G14600	1	1	1	1	1	1	0	0	1	1	1	1	1
AT5G03440	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G21750	0	1	0	0	0	0	0	0	0	0	0	0	0
AT2G21240	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G29550	0	1	1	1	1	1	1	1	1	1	1	1	1
AT5G08415	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G10080	0	0	0	1	0	0	0	0	1	1	0	1	1
AT3G62470;AT3G62540;AT5G14820	1	1	1	1	1	1	1	1	1	1	0	1	1
AT5G25130	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G58040	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G62780	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G35990	1	1	1	0	0	1	0	0	0	0	1	1	1
AT2G39830	0	0	0	1	0	0	0	1	1	0	0	1	1
AT4G03700	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G02570	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G35480	1	1	1	1	1	0	0	0	1	1	1	1	1
AT5G17680	1	1	1	0	0	1	1	1	0	0	1	0	1
AT1G65910	0	0	0	1	0	0	0	0	1	0	0	0	1
AT5G39370	0	0	0	1	0	0	0	0	0	0	0	0	1
AT2G10340	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G10850	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G47600	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G38150	0	0	0	0	0	0	1	0	0	0	0	0	0
AT2G32030	1	1	1	1	1	1	1	1	1	0	1	1	1
AT4G14605	0	1	1	1	1	1	1	0	0	0	0	0	1
AT4G17940	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G28930	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G80830	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G20620	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G49140	0	0	0	1	1	0	1	1	0	1	0	1	0
AT5G19480	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G24580	0	0	0	0	1	0	1	1	1	1	0	1	0
AT4G31320	1	1	1	1	1	1	0	0	1	0	1	1	1
AT5G13010	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G23870	1	0	0	0	0	0	0	0	0	0	1	0	1
ATMG00270;AT2G07731	0	1	1	1	1	1	0	1	1	1	1	1	1
AT2G27710	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G46270	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G42310	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G24000	0	0	1	0	0	0	0	0	0	0	0	0	0
AT5G20160	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G57420	0	0	1	0	0	1	0	0	0	0	0	1	0
AT2G34860	0	1	1	1	1	1	1	1	1	1	1	1	1
AT1G76700	1	1	1	1	1	1	1	1	1	0	1	1	1
ATCG00190	0	1	1	1	1	1	0	0	1	0	1	0	1
AT2G26380	0	1	1	1	1	1	1	1	1	0	1	1	1
AT4G20420	0	0	0	1	0	1	0	0	1	0	0	0	1
AT1G60940	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G04690	0	1	1	1	1	1	1	1	1	0	1	1	1
AT5G56090	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G19060	0	0	0	1	0	0	0	0	0	0	0	0	0
AT4G12970	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G04110	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G08580	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G31410	0	1	1	1	1	1	1	0	0	1	1	1	1
AT5G37530	0	0	1	1	1	1	1	0	1	1	1	1	1
AT5G59220	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G34660	1	1	1	0	1	1	1	0	1	1	1	1	1
AT2G20625	1	1	1	1	1	1	1	1	1	0	1	1	1
AT2G01240	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G23960	1	0	0	0	0	0	0	1	1	0	0	1	1
AT5G29050	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G38500	1	0	0	0	0	0	0	0	0	0	0	0	0
AT5G07360	1	1	1	0	1	1	1	1	0	0	1	1	1
AT4G30700	1	1	1	1	1	1	1	0	1	1	1	0	1
AT4G08840	0	0	0	1	0	0	0	0	0	0	0	0	0
AT3G18350	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G45650	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G00530	0	0	1	1	0	1	0	0	1	0	1	0	1
AT2G19830	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G15480	1	1	1	0	1	1	1	1	0	0	1	1	1
AT2G11520	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G44430	1	1	1	0	1	1	1	1	1	1	0	1	1
AT1G71730	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G11060	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G18610	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G09510;AT2G31520;AT2G25550	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G40010	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G14770	0	0	1	1	0	1	1	1	1	1	1	0	1
AT2G25760	0	0	1	1	1	1	0	0	0	0	1	0	1
AT3G07450	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G47100	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G29140	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G18150	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G01760;AT1G61270	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G33530	0	0	1	0	1	0	1	0	0	0	1	0	0
AT5G54250	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G51840	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G24080	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G22080;AT4G22090	1	0	0	0	0	0	0	0	0	0	0	0	0
AT4G03870	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G22310	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G40680	0	0	0	1	0	0	0	0	1	0	0	0	0
AT2G29400	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G21600	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G14860	0	0	0	1	1	1	1	1	0	1	1	0	1
AT2G47770	1	1	1	1	1	1	1	1	1	0	1	1	1
AT3G09250	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G25560	0	0	0	0	0	0	0	0	0	0	1	0	1
AT5G43620;AT1G66500	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G36550	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G20790	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G17530	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G35330	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G13180	1	1	1	1	1	1	1	1	1	0	1	1	1
AT5G65040	0	1	1	1	1	1	1	1	1	0	0	1	1
AT2G27880	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G42480	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G57590	0	1	1	1	1	1	1	1	1	1	1	1	1
AT3G61920	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G39220	0	1	1	1	1	1	0	0	1	0	1	0	1
AT3G24170	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G76870	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G23460	0	1	1	1	1	0	1	1	1	1	0	1	1
AT2G16660	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G24430	0	0	0	1	1	1	0	0	0	0	0	0	0
AT4G24940	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G04280	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G19330	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G23720	0	0	0	1	0	0	0	0	0	0	1	0	1
AT5G27100	1	1	1	1	1	1	0	0	1	0	1	0	1
AT5G60070	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G05760	0	0	0	1	1	0	1	1	1	1	0	1	1
AT2G34710	0	0	1	1	1	1	1	1	1	1	0	1	1
AT2G38670	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G30360	1	1	1	1	1	1	1	1	1	1	1	1	1
ATCG00040	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G04080	0	0	0	0	0	0	0	1	1	0	0	1	1
AT2G04540	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G31840	0	0	0	1	0	0	0	0	0	0	0	0	0
AT3G15070	1	1	1	0	1	1	1	1	1	1	1	1	1
AT2G26230	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G08430	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G11690	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G23810	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G34510	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G40180	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G18780	0	0	1	1	1	1	1	1	1	1	1	1	1
AT5G48490	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G16200	0	0	1	1	1	0	1	1	0	1	0	1	1
AT2G45500	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G18200	1	1	1	0	0	0	1	0	0	0	1	1	1
AT1G11950	0	1	1	1	1	1	1	1	1	1	0	1	1
AT4G01920	1	0	0	0	0	0	0	0	0	0	0	0	0
AT4G11490	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G22480	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G29570	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G25610	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G07300	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G18000	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G03460	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G58060	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G39850	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40530	0	0	0	1	0	0	0	0	1	1	0	0	0
AT5G39390	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G02590	1	1	1	1	1	0	0	0	1	1	1	1	1
AT1G65930	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G25410	1	1	0	0	0	0	1	1	1	0	0	0	1
AT2G47620	0	1	1	1	1	1	1	1	1	1	0	1	1
AT3G09100	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G38170	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36400	0	1	1	1	0	1	0	0	1	1	1	1	1
AT3G49160	1	1	0	0	0	0	1	1	0	0	0	1	0
AT5G05260	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G47780;AT1G47786	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G32050	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G17960	1	1	1	1	1	0	1	1	1	1	1	1	1
AT1G80850	1	0	1	0	1	1	1	1	1	1	1	1	1
AT2G28950	0	1	1	1	1	1	1	0	1	1	1	1	1
AT4G31340	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G13030	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G23890	0	0	0	0	0	0	0	1	0	0	0	1	0
AT5G57440	1	1	1	1	1	1	1	0	1	1	1	1	1
AT4G34930;AT4G34920	1	0	1	0	0	0	1	1	0	0	1	1	1
AT2G42330	0	0	0	0	1	1	1	1	0	0	1	0	0
AT5G20180	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G27730	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G16510	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G20900	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G49162	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G34880	0	0	0	0	0	0	0	0	1	0	0	0	0
AT5G23310	0	1	1	1	0	1	1	1	0	1	0	1	1
AT5G27270	0	1	0	0	0	0	1	1	1	1	0	1	0
AT5G45000	1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G60960	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G02130	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G20440	0	1	1	1	1	1	1	1	1	1	1	1	1
AT5G07380	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G12990	0	0	1	1	1	0	1	1	1	1	1	1	1
AT3G04130	0	1	1	0	0	0	1	0	0	0	0	0	1
AT5G37550	1	0	1	0	1	0	1	1	1	0	1	1	1
AT3G18370	1	1	0	0	0	1	1	1	1	0	1	0	0
AT4G34680	0	0	0	0	1	0	1	1	0	0	0	1	0
AT4G30720	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G01260	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G23980	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G38520	0	0	1	1	0	0	0	0	0	0	1	0	0
AT5G59240	0	1	1	1	1	1	1	0	0	1	1	1	1
AT2G05610	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G29070	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G30210	0	0	1	1	1	0	1	1	1	0	1	1	1
AT4G04900	0	0	0	0	0	0	0	0	1	0	0	0	0
AT4G00550	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G45670	1	1	1	1	1	1	1	1	1	0	1	1	1
AT2G44450	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G71750	0	0	0	1	0	0	0	0	1	0	1	0	1
AT5G40030	0	1	1	0	0	1	0	0	0	0	0	0	1
AT5G11080	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G14790	0	1	1	1	1	1	1	1	1	1	1	0	1
AT3G07470	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G63360;AT1G62630	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G48340	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G18170	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G18630	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G47120	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G25780	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G14210	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G41000	1	0	1	1	1	1	1	1	1	0	1	1	1
AT4G26910	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G29160	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G11800	0	0	1	1	1	1	1	1	1	1	1	1	1
AT1G49140;AT3G18410	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G54270	0	0	0	0	0	0	1	1	0	0	0	0	0
AT2G37900	0	0	0	0	0	0	0	0	0	0	1	0	0
AT1G51860	1	0	0	0	0	0	0	0	0	0	0	0	0
AT4G11340	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G22330	0	0	1	1	1	1	1	1	1	0	1	1	1
AT4G03890	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G07730	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G14880	0	0	1	1	1	0	1	1	0	1	0	1	1
AT4G21620	0	1	0	0	0	0	1	1	0	0	0	0	0
AT5G03310	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G25580	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G32720;AT1G29620;AT3G43780	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G47790	0	1	1	1	1	1	1	1	1	1	1	1	1
AT3G09270	1	1	1	1	1	1	1	1	1	0	1	1	1
AT2G29420	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G21110	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36570	0	0	0	1	1	0	0	0	1	1	0	0	1
AT4G28710	1	1	1	1	1	1	0	1	1	1	1	1	1
AT2G13660	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39700	0	1	1	0	1	1	1	0	1	0	1	0	1
AT4G35860	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G02440	0	0	0	1	1	0	0	0	1	0	0	0	0
AT3G24190	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G61940	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G23480	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G38020	1	1	1	1	0	1	1	1	1	0	1	1	1
AT4G17810	0	0	0	1	0	0	0	0	0	0	0	0	0
AT1G76890	1	0	0	1	1	0	1	1	1	0	0	1	1
AT2G16680	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G05110	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G28800	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G45170	0	1	1	1	1	1	1	1	1	1	1	1	1
AT3G49010	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G24450	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G24960	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G23740	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G20030	0	1	0	1	0	1	1	1	1	0	0	0	0
AT2G46140	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G19350	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G30890	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G38690	0	0	0	1	0	0	0	0	0	0	0	0	0
AT2G07738	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G60090	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G30380	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G39705	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G60810	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G04560	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G31860	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G37980	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G12840	0	1	1	1	1	1	1	0	1	0	1	1	1
AT5G08450	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G15090	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G26250	0	1	0	0	1	0	1	0	0	0	1	0	0
AT2G01110	0	1	1	1	1	1	1	1	1	1	1	1	1
AT5G07230	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G23830	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G16220	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G14380	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G18220	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G45520	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G11970	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G08710	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G00400	0	1	0	0	0	1	1	0	0	0	0	0	0
AT2G19700	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G01940	1	1	1	1	1	1	1	1	0	0	1	1	1
AT2G44300	1	0	1	1	1	1	1	1	1	1	1	1	1
AT2G29590	1	0	0	1	1	0	1	1	1	0	1	1	1
AT4G14640	0	0	0	0	0	1	0	0	0	0	0	0	0
ATCG00065	0	1	1	1	1	1	0	0	1	1	1	0	1
AT3G07320	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G21790	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G25630	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G21280	0	0	0	0	0	0	1	1	0	0	0	0	0
AT5G58080	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G33910	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G15095	1	1	1	1	1	1	1	0	1	1	1	1	1
AT3G29010	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G25170	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G51710	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G39870	0	0	1	1	0	0	1	1	1	1	1	1	1
AT5G28300	1	1	0	0	0	0	0	0	0	0	0	0	0
AT2G40550	0	1	1	1	1	1	1	1	1	1	1	1	1
AT4G03740	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G10890	0	1	1	1	1	1	1	1	1	1	1	1	1
AT2G14730	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G10380	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G65950	1	1	1	1	1	1	1	1	1	1	0	1	1
AT2G47640	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G25430	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G32070	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G17980	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G49180	0	1	1	1	1	1	1	1	1	1	1	1	1
AT2G13510	0	0	0	1	0	0	0	0	0	0	1	0	0
AT2G28970	1	0	0	0	0	0	0	0	0	0	0	0	0
AT5G13050	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G80870	0	0	0	1	1	0	1	1	1	0	0	1	1
AT4G35710	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G20660	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G62500	0	0	1	1	0	0	0	0	0	0	0	0	0
AT5G17400	1	1	1	1	1	1	1	1	1	1	1	1	1
AT4G31360	0	1	1	1	1	1	1	0	0	1	0	1	1
AT2G27750	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G42350	1	0	0	0	0	0	0	0	0	0	0	0	0
AT3G24040	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G57460	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G27290	0	0	0	1	0	0	0	0	0	0	0	0	1
AT4G25434	0	0	0	0	1	0	1	1	0	0	0	0	0
AT1G20920	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G76740	0	0	0	1	0	0	0	0	0	0	0	0	0
AT5G23330	0	0	0	1	0	0	1	1	1	1	0	1	0
AT4G24810	0	1	1	1	1	1	1	1	1	0	0	1	0
AT4G20460	1	1	1	1	1	1	1	1	0	0	1	1	1
AT5G02150	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G60980	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G45020	0	0	0	1	1	1	1	1	1	1	0	1	1
AT2G24300	1	1	1	1	1	1	1	0	0	1	1	1	1
AT5G37570	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G19200	0	1	0	0	0	0	0	0	0	1	0	0	1
AT2G31450	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G04150	0	0	0	1	0	1	0	0	1	0	0	0	0
AT4G33860;AT4G33850	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G38195	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G59260	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G16390	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G38540	0	0	0	0	1	0	1	0	0	0	0	0	0
AT5G39270;AT5G39290	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G05630	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G18390	0	0	0	1	0	0	1	1	0	1	0	0	0
AT2G01280	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G29090	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G04920	0	1	1	0	1	1	1	0	0	0	0	0	1
AT4G37830	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G31710	0	0	0	1	0	0	1	0	0	0	0	0	0
AT4G00570	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G45690	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G04410	1	1	1	1	0	1	1	1	1	1	1	1	1
AT4G08880	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G71770	0	0	1	1	0	1	0	0	0	0	1	0	1
AT2G44470	0	0	0	1	0	0	0	0	0	0	0	0	0
AT5G08300	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G41400;AT2G41390	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G40050	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G18190	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G07490	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G74900	0	0	0	1	1	0	0	0	0	0	0	0	0
AT1G60985	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G10190;AT4G15050	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G48360	0	1	1	1	0	1	1	0	1	1	0	1	1
AT2G18650	1	0	0	0	0	0	0	0	0	0	0	0	0
