root_hair	non-hair_epidermis	QC	Stele	xylem_pole_pericycle	lateral_root_cap	Lateral_root	phloem_pole_pericycle	protophloem	developing_xylem	endodermis	companion_cells	Stele
AT1G01290	1	1	1	1	1	1	1	1	0	1	1	1	1
AT3G46510	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G09700	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G19210	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G16340	0	0	1	1	1	1	1	1	1	1	1	1	1
AT1G19750;AT1G27840	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G16850	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G45800	0	1	1	1	1	1	1	1	1	0	1	1	1
AT5G49760	1	1	0	0	0	1	1	0	0	0	1	1	1
AT1G02305	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G41450	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G23490	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G63140	0	1	1	1	1	0	1	0	0	1	1	0	1
AT1G42365	1	1	0	1	1	1	0	1	0	0	1	0	1
AT1G19880	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G08890	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G15630	0	0	0	1	0	0	0	0	1	1	0	0	1
AT3G59530	0	1	0	1	1	1	0	0	0	0	1	0	1
AT1G26110	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G60720	0	0	0	1	0	0	0	0	1	1	0	1	1
AT1G33260	0	0	0	1	0	0	0	0	1	0	0	0	0
AT1G08065	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G34900	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G03090	1	1	1	1	1	0	1	1	1	1	1	1	1
AT1G07440	1	1	0	1	1	1	0	0	1	0	1	0	1
AT5G04730	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G47600	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G52240	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G40830	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G43310;AT5G33320	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G63230	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G15210	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G44790	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G15720	0	0	1	1	0	0	0	0	1	1	0	0	1
AT1G69190	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G11370	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G62010	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G22360	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G10660	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G29450	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G55780	0	0	0	0	0	0	0	0	0	0	0	0	0
AT5G62520	1	1	1	1	1	1	1	1	1	1	1	1	1
AT5G18970	0	0	0	1	1	0	0	1	1	0	0	1	1
AT2G41800	1	1	1	1	1	1	1	1	1	0	1	1	1
AT1G73000	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G21650	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G44050	1	0	0	0	0	0	0	0	0	0	0	0	0
AT1G58290	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G28740	1	1	1	1	1	1	1	1	1	0	1	1	1
AT5G06530	0	1	1	1	1	1	1	1	1	0	1	1	1
AT4G25030	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G33265	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G21910	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G09560	1	1	1	1	1	1	1	1	1	1	1	1	1
AT2G37480;AT2G37478	1	1	1	0	1	1	1	1	1	1	1	1	1
AT3G51110	0	0	0	0	0	1	0	0	0	0	0	0	0
AT1G17010	0	0	0	0	0	0	0	0	0	0	0	0	0
AT3G17520	0	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02470	0	0	0	1	0	1	0	0	0	0	1	0	0
AT3G13170	0	0	0	0	0	0	0	0	0	0	0	0	0
AT4G39270	1	1	1	1	1	1	1	1	0	0	1	1	1
AT1G02530;AT1G02520	1	1	1	1	1	1	1	0	0	1	1	1	1
AT5G46590	0	0	0	0	1	0	1	1	1	0	0	1	1
