245100_at,ATUBP5,
245100_at,PDE323,
245100_at,UBP5,
245101_at,CYP98A3,
245101_at,CYP98A3,
245102_at,NA,
245103_at,NA,
245104_at,NA,
245105_at,NA,
245106_at,NA,
245107_at,AT-HSFB3,
245107_at,HSFB3,
245108_at,ATCKX1,
245108_at,CKX1,
245109_at,TPR15,
245109_at,TPR15,
245110_at,NA,
245111_at,NA,
245112_at,GPDHC1,
245113_at,MIZ1,
245114_at,TFIIB,
245115_at,ATSFGH,
245115_at,SFGH,
245116_at,NA,
245117_at,ACA4,
245118_at,NTRC,
245119_at,NA,
245120_at,HOS1,
245121_at,NA,
245122_at,DIM1A,
245123_at,CAO,
245123_at,CPSRP43,
245124_at,U1A,
245125_at,CKI1,
245126_at,ATMYB12,
245126_at,MYB12,
245126_at,PFG1,
245127_at,ATMHX,
245127_at,ATMHX1,
245127_at,MHX,
245127_at,MHX1,
245128_at,NA,
245129_at,CRR4,
245130_at,NA,
245131_s_at,NA,
245132_at,NA,
245133_at,GAE4,
245134_s_at,NA,
245135_at,NA,
245136_at,NA,
245137_at,NA,
245138_at,AFO,
245138_at,FIL,
245138_at,YAB1,
245139_at,AHL22,
245140_at,LBD18,
245141_at,BEN1,
245142_at,GCP1,
245143_at,ZPR1,
245144_at,MAP1A,
245145_at,DHDPS2,
245146_at,ATGOS12,
245146_at,GOS12,
245147_at,ATRAD51C,
245147_at,RAD51C,
245148_at,NA,
245149_at,ATSWI3A,
245149_at,CHB1,
245149_at,SWI3A,
245150_at,PHR2,
245151_at,NA,
245152_at,ATNDT1,
245152_at,NDT1,
245153_at,NA,
245154_at,NA,
245155_at,NA,
245156_at,CPK7,
245157_at,NA,
245158_at,RALF18,
245158_at,RALFL18,
245159_at,ATCSLD1,
245159_at,CSLD1,
245160_at,AtRLP28,
245160_at,RLP28,
245161_at,ATNSP2,
245161_at,NSP2,
245162_at,ATXID,
245162_at,XID,
245163_at,YUC7,
245164_at,HSP60-2,
245165_at,NA,
245166_at,NA,
245167_s_at,NA,
245168_at,KAT2,
245168_at,PED1,
245168_at,PKT3,
245169_at,NA,
245170_at,NA,
245171_at,NA,
245172_at,NA,
245173_at,AtERF71,
245173_at,ERF71,
245173_at,HRE2,
245174_at,NA,
245175_at,ATPDI11,
245175_at,ATPDIL2-1,
245175_at,MEE30,
245175_at,PDI11,
245175_at,UNE5,
245176_at,NA,
245177_at,ANNAT8,
245178_at,FIS1B,
245179_at,NA,
245180_at,NA,
245181_at,NA,
245182_at,TPR16,
245183_at,NA,
245184_at,NA,
245185_at,NA,
245186_at,ARR11,
245187_s_at,NA,
245188_at,NA,
245189_at,NA,
245190_at,NA,
245191_at,TEL2,
245192_at,NA,
245193_at,SUFE2,
245194_at,NA,
245195_at,PSBY,
245195_at,YCF32,
245196_at,NA,
245197_at,NA,
245198_at,NA,
245199_at,ATKCR1,
245199_at,KCR1,
245199_at,YBR159,
245200_at,NA,
245201_at,CSK,
245201_at,CSK,
245202_at,NA,
245203_at,NA,
245204_at,NA,
245205_at,NA,
245206_at,DGS1,
245207_at,NA,
245208_at,LRP1,
245209_at,NA,
245210_at,NA,
245211_at,SEC10,
245211_at,SEC10,
245212_at,NA,
245213_at,CP22,
245213_at,NPQ4,
245213_at,PSBS,
245214_at,NA,
245215_at,ATFXG1,
245215_at,FXG1,
245216_at,IMPA-2,
245217_at,NA,
245218_s_at,NA,
245219_at,NA,
245220_at,NA,
245221_s_at,NA,
245222_at,NA,
245223_at,NA,
245224_at,NA,
245225_at,NA,
245226_at,NA,
245227_s_at,NA,
245228_at,COBL2,
245229_at,NA,
245230_at,NA,
245231_at,NA,
245232_at,ADF7,
245233_at,NA,
245234_at,AtMYB18,
245234_at,LAF1,
245234_at,MYB18,
245235_at,NA,
245236_at,ATMSH3,
245236_at,MSH3,
245237_at,SLK1,
245238_at,ACYB-2,
245239_at,FWA,
245239_at,HDG6,
245240_at,NA,
245241_at,NA,
245242_at,ATCAO,
245242_at,CAO,
245242_at,CH1,
245243_at,NA,
245244_at,ILL6,
245245_at,hemb2,
245246_at,NA,
245247_at,SCL13,
245248_at,ATB',
245248_at,ATB',
245249_at,ACX1,
245249_at,ATACX1,
245250_at,ATERF6,
245250_at,ERF-6-6,
245250_at,ERF6,
245251_at,ATCBL1,
245251_at,CBL1,
245251_at,SCABP5,
245252_at,ATERF-1,
245252_at,ERF-1,
245253_at,CYP74B2,
245253_at,HPL1,
245254_at,APS3,
245255_at,COP9,
245255_at,CSN8,
245255_at,EMB143,
245255_at,FUS7,
245256_at,FAR1,
245257_at,AtCML8,
245257_at,CAM8,
245258_at,04C11,
245258_at,ATPEN1,
245258_at,PEN1,
245259_at,KINESIN-12A,
245259_at,PAKRP1,
245260_at,NA,
245261_at,NA,
245262_at,NA,
245263_at,NA,
245264_at,NA,
245265_at,ACD6,
245266_at,NA,
245267_at,NA,
245268_at,ATPRMT7,
245268_at,PRMT7,
245269_at,NA,
245270_at,TUA6,
245271_at,NA,
245272_at,NA,
245273_at,KMS1,
245274_at,NA,
245275_at,AT-BETA-AMY,
245275_at,ATBETA-AMY,
245275_at,BAM5,
245275_at,BMY1,
245275_at,RAM1,
245276_at,ATHB-2,
245276_at,ATHB2,
245276_at,HAT4,
245276_at,HB-2,
245276_at,ATHB-2,
245276_at,ATHB2,
245276_at,HAT4,
245276_at,HB-2,
245277_at,IAGLU,
245278_at,ATSYP23,
245278_at,SYP23,
245279_at,NA,
245280_at,VRN2,
245281_at,AtCLA1,
245281_at,CLA,
245281_at,CLA1,
245281_at,DEF,
245281_at,DXPS2,
245281_at,DXS,
245282_at,NA,
245283_at,AT-HSFA5,
245283_at,HSFA5,
245284_at,PDE226,
245284_at,PDS,
245284_at,PDS3,
245285_s_at,NA,
245286_at,ATCYS-3A,
245286_at,CYTACS1,
245286_at,OASA1,
245286_at,OLD3,
245287_at,HISN5B,
245287_at,HISN5B,
245288_at,ADA2B,
245288_at,PRZ1,
245289_at,NA,
245290_at,NA,
245291_at,NA,
245292_at,NA,
245293_at,NA,
245294_at,CKI1,
245294_at,CKL11,
245295_at,NA,
245296_at,ATOPT3,
245296_at,OPT3,
245297_at,NA,
245298_at,NA,
245299_at,ATRAB1C,
245299_at,ATRABD2C,
245299_at,RAB1C,
245299_at,ATRAB1C,
245299_at,ATRABD2C,
245299_at,RAB1C,
245300_at,CBL6,
245300_at,SCABP2,
245301_at,FPS2,
245302_at,KAN3,
245303_at,NA,
245304_at,NA,
245305_at,NA,
245306_at,ELIP2,
245307_at,NA,
245308_at,NA,
245309_at,NA,
245310_at,RALFL31,
245311_at,NA,
245312_at,NA,
245313_at,NA,
245314_at,NA,
245315_at,PBD2,
245316_at,NA,
245317_at,NA,
245318_at,NA,
245319_at,NA,
245320_at,NA,
245321_at,NA,
245322_at,NA,
245323_at,NA,
245324_at,NA,
245325_at,XTH15,
245325_at,XTR7,
245326_at,NA,
245327_at,NA,
245328_at,AHL20,
245329_at,XBAT34,
245330_at,NA,
245331_at,bHLH104,
245332_at,NA,
245333_at,NA,
245334_at,RALFL33,
245335_at,ATOEP16-2,
245335_at,ATOEP16-S,
245336_at,RGF6,
245337_at,HINT4,
245338_at,NA,
245339_at,ATSEB1,
245339_at,COBL7,
245339_at,SEB1,
245340_at,NA,
245341_at,NA,
245342_at,NA,
245343_at,NA,
245344_at,NA,
245345_at,NA,
245346_at,BAM3,
245346_at,BMY8,
245346_at,CT-BMY,
245347_at,FdC2,
245348_at,ATTPS5,
245348_at,TPS5,
245349_at,ATMES16,
245349_at,MES16,
245350_at,NA,
245351_at,CKB2,
245352_at,UGT84A3,
245353_at,NA,
245354_at,LIL3:1,
245355_at,NA,
245356_at,ATSAHH1,
245356_at,EMB1395,
245356_at,HOG1,
245356_at,MEE58,
245356_at,SAHH1,
245357_at,NA,
245358_at,PRL1,
245359_at,ATECI2,
245359_at,ECHIB,
245359_at,ECI2,
245359_at,IBR10,
245359_at,PEC12,
245360_at,NA,
245361_at,NA,
245362_at,HAT1,
245363_at,NA,
245364_at,NA,
245365_at,NA,
245366_at,AtMAPR4,
245366_at,MAPR4,
245367_at,NRPB9B,
245367_at,NRPD9B,
245367_at,NRPE9B,
245368_at,NA,
245369_at,NA,
245370_at,NA,
245371_at,NA,
245372_at,NA,
245373_s_at,NA,
245374_at,NA,
245375_at,NA,
245376_at,NA,
245377_at,NA,
245378_at,HDG4,
245379_at,ATHSF1,
245379_at,ATHSFA1A,
245379_at,HSF1,
245379_at,HSFA1A,
245380_at,NA,
245381_at,MYB39,
245382_at,NA,
245383_at,NA,
245384_at,NA,
245385_at,NA,
245386_at,RALFL32,
245387_at,NA,
245388_at,NA,
245389_at,NA,
245390_at,NA,
245391_at,ATG8F,
245392_at,NA,
245393_at,NA,
245394_at,NA,
245395_at,NA,
245396_at,SECE1,
245397_at,AXR5,
245397_at,IAA1,
245398_at,NA,
245399_at,DELTA-TIP2,
245399_at,TIP2;2,
245400_at,CLPR4,
245400_at,HON5,
245401_at,NA,
245402_at,NA,
245403_at,NA,
245404_at,NA,
245405_at,NA,
245406_at,ATRAB2B,
245406_at,ATRABB1A,
245406_at,RABB1a,
245407_at,AT-RAB2,
245407_at,ATRAB-B1B,
245407_at,ATRAB2A,
245407_at,ATRABB1C,
245407_at,RAB-B1B,
245407_at,RAB2A,
245407_at,RABB1C,
245408_at,NA,
245409_at,NA,
245410_at,ATMAP70-5,
245410_at,MAP70-5,
245411_at,NA,
245412_at,NA,
245413_at,ATNS1,
245413_at,NS1,
245413_at,OVA8,
245414_at,NA,
245415_at,ATG2484-1,
245415_at,G2484-1,
245416_at,NA,
245417_at,NA,
245418_at,NA,
245419_at,ATMSH4,
245419_at,MSH4,
245419_at,ATMSH4,
245419_at,MSH4,
245420_at,NA,
245421_at,NA,
245422_at,NA,
245423_at,NA,
245424_at,NA,
245425_at,UCH3,
245426_at,NA,
245427_at,AtG3Pp4,
245427_at,G3Pp4,
245428_at,GATA26,
245429_at,NA,
245430_at,FIP2,
245431_at,NA,
245432_at,NA,
245433_at,NA,
245434_at,NA,
245435_at,NA,
245436_at,NA,
245437_at,NA,
245438_at,NA,
245439_at,NA,
245440_at,NA,
245441_at,PSD1,
245442_at,NA,
245443_at,TPS02,
245444_at,ATTPS03,
245444_at,TPS03,
245445_at,NA,
245446_at,NA,
245447_at,PLA-I{beta]2,
245448_at,RPP4,
245449_at,NA,
245450_at,NA,
245451_at,BAL,
245451_at,SNC1,
245452_at,NA,
245453_at,NA,
245454_at,NA,
245455_at,NA,
245456_at,RPP5,
245457_s_at,NA,
245458_at,NA,
245459_at,NA,
245460_at,RLM3,
245460_at,RLM3,
245460_at,RLM3,
245461_at,NA,
245462_at,NA,
245463_at,AT-EXPR,
245463_at,ATEXLB1,
245463_at,ATEXPR1,
245463_at,ATHEXP,
245463_at,EXLB1,
245463_at,EXPR,
245464_at,NA,
245465_at,ATCSLA01,
245465_at,ATCSLA1,
245465_at,CSLA01,
245466_at,NA,
245467_at,NA,
245468_at,NA,
245469_at,NA,
245470_at,NA,
245471_at,NA,
245472_at,NA,
245473_at,NA,
245474_at,NA,
245475_at,NA,
245476_at,NA,
245477_at,ARR2,
245477_at,RR2,
245478_at,ARA1,
245478_at,ATISA1,
245478_at,ISA1,
245479_at,NA,
245480_at,NA,
245481_at,NA,
245482_at,NA,
245483_at,NA,
245484_at,E-COAH-2,
245484_at,ECHIA,
245485_at,NA,
245486_x_at,NA,
245487_at,PHYD,
245488_at,NA,
245489_at,FCA,
245490_at,LDL3,
245491_at,NA,
245492_at,SPK1,
245493_at,NA,
245494_at,SVR7,
245495_at,NA,
245496_at,NA,
245497_at,NA,
245498_at,NA,
245499_at,ATINT4,
245499_at,INT4,
245500_at,NA,
245501_at,NA,
245502_at,NA,
245503_at,NA,
245504_at,NA,
245505_at,NA,
245506_at,NA,
245507_at,NA,
245508_at,NA,
245509_at,NA,
245510_at,NA,
245511_at,NA,
245512_at,NA,
245513_at,ATVAMP724,
245513_at,VAMP724,
245514_at,NA,
245515_at,NA,
245516_at,NA,
245517_at,NA,
245518_at,ATRH1,
245518_at,RH1,
245519_at,NA,
245520_at,ATTS1,
245520_at,TS1,
245521_at,ATESD4,
